platform,problem_id,title,difficulty_raw,difficulty_band,accepted_count,submission_count,acceptance_rate,tags
Codeforces,2228C1,Cirno and Number (Easy Version),1500.0,Medium,7430,,,"['binary search', 'brute force', 'dp', 'greedy', 'implementation']"
Codeforces,2228B,Remilia Plays Soku,1100.0,Easy,15657,,,"['games', 'implementation']"
Codeforces,2228A,Marisa Steals Reimu's Takeout,800.0,Easy,20287,,,"['greedy', 'implementation']"
Codeforces,2227H,Fallen Leaves,2100.0,Hard,1514,,,"['dfs and similar', 'dp', 'trees']"
Codeforces,2227G,Drowning,2000.0,Hard,1993,,,"['binary search', 'data structures', 'math']"
Codeforces,2227F,It Just Keeps Going Sideways,1700.0,Medium,3975,,,"['binary search', 'data structures', 'dp', 'greedy', 'math']"
Codeforces,2227E,It All Went Sideways,1400.0,Medium,8769,,,"['binary search', 'data structures', 'dp', 'greedy']"
Codeforces,2227D,Palindromex,1200.0,Medium,12568,,,"['binary search', 'brute force', 'constructive algorithms', 'data structures', 'greedy', 'implementation', 'two pointers']"
Codeforces,2227C,Snowfall,800.0,Easy,21182,,,"['constructive algorithms', 'math']"
Codeforces,2227B,Party Monster,800.0,Easy,25799,,,['greedy']
Codeforces,2227A,Koshary,800.0,Easy,28554,,,"['implementation', 'math']"
Codeforces,2226G,Stop Spot,3000.0,Hard,168,,,"['implementation', 'strings', 'trees']"
Codeforces,2226F,Inversion Invasion,2800.0,Hard,249,,,"['math', 'number theory']"
Codeforces,2226E,Mental Monumental (Hard Version),2300.0,Hard,940,,,"['data structures', 'greedy', 'math', 'two pointers']"
Codeforces,2226D,Reserved Reversals,1900.0,Medium,2927,,,"['constructive algorithms', 'dp', 'greedy', 'math']"
Codeforces,2226C,Mental Monumental (Easy Version),1500.0,Medium,7441,,,"['binary search', 'data structures', 'greedy', 'math', 'two pointers']"
Codeforces,2226B,Everything Everywhere,900.0,Easy,13318,,,"['greedy', 'math', 'number theory']"
Codeforces,2226A,Disturbing Distribution,800.0,Easy,14428,,,"['greedy', 'math']"
Codeforces,2225G,Simple Problem,2900.0,Hard,244,,,"['brute force', 'graphs', 'greedy', 'number theory']"
Codeforces,2225F,String Cutting,2600.0,Hard,707,,,"['binary search', 'brute force', 'greedy', 'hashing', 'string suffix structures', 'strings']"
Codeforces,2225E,Covering Points with Circles,2200.0,Hard,1216,,,"['constructive algorithms', 'geometry', 'math']"
Codeforces,2225D,Exceptional Segments,1500.0,Medium,7736,,,"['bitmasks', 'brute force', 'math']"
Codeforces,2225C,Red-Black Pairs,1100.0,Easy,13186,,,"['dp', 'greedy']"
Codeforces,2225B,Alternating String,900.0,Easy,16247,,,"['brute force', 'greedy']"
Codeforces,2225A,A Number Between Two Others,800.0,Easy,20457,,,"['greedy', 'math']"
Codeforces,2224B,Zhily and Mex and Max,1200.0,Medium,7970,,,"['constructive algorithms', 'greedy', 'math', 'sortings']"
Codeforces,2224A,Zhily and Array Operating,800.0,Easy,10875,,,"['constructive algorithms', 'greedy']"
Codeforces,2223F,Zhily and Colorful Strings,3400.0,Hard,90,,,"['divide and conquer', 'fft', 'math']"
Codeforces,2223E,Zhily and Permutation,3500.0,Hard,31,,,"['data structures', 'divide and conquer', 'trees']"
Codeforces,2223D,Zhily and Cycle,2800.0,Hard,319,,,"['graphs', 'greedy']"
Codeforces,2223C,Zhily and Signpost,2300.0,Hard,837,,,"['chinese remainder theorem', 'dfs and similar', 'math', 'number theory', 'trees']"
Codeforces,2223B,Zhily and Barknights,1600.0,Medium,3284,,,"['binary search', 'data structures', 'dp', 'math', 'sortings', 'two pointers']"
Codeforces,2223A,Zhily and Bracket Swapping,1300.0,Medium,6999,,,"['constructive algorithms', 'greedy']"
Codeforces,2222H,Counting Sort?,3500.0,Hard,134,,,"['brute force', 'combinatorics', 'dp']"
Codeforces,2222G,Statistics on Tree,3100.0,Hard,200,,,"['binary search', 'brute force', 'dfs and similar', 'divide and conquer', 'graphs', 'trees']"
Codeforces,2222F,Building Tree,2600.0,Hard,695,,,"['data structures', 'divide and conquer', 'dsu', 'graphs', 'implementation']"
Codeforces,2222E,Seek the Truth,2000.0,Hard,2260,,,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']"
Codeforces,2222D,Permutation Construction,1800.0,Medium,3755,,,"['constructive algorithms', 'data structures', 'sortings']"
Codeforces,2222C,Median Partition,1500.0,Medium,5687,,,"['dp', 'math']"
Codeforces,2222B,Artistic Balance Tree,1100.0,Easy,8487,,,"['greedy', 'sortings']"
Codeforces,2222A,A Wonderful Contest,800.0,Easy,11630,,,"['brute force', 'dp', 'math']"
Codeforces,2220B,OIE Excursion,1200.0,Medium,13814,,,['greedy']
Codeforces,2220A,Blocked,800.0,Easy,20146,,,"['greedy', 'sortings']"
Codeforces,2219E,Weird Chessboard,3500.0,Hard,131,,,"['constructive algorithms', 'math']"
Codeforces,2219D,MEX Replacement on Tree,2700.0,Hard,499,,,"['data structures', 'implementation', 'math', 'trees']"
Codeforces,2219C,Coloring a Red Black Tree,2300.0,Hard,1360,,,"['dfs and similar', 'dp', 'greedy', 'math', 'probabilities', 'trees']"
Codeforces,2219B2,Unique Values (Hard version),2000.0,Hard,3592,,,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']"
Codeforces,2219B1,Unique Values (Easy version),1900.0,Medium,4005,,,"['binary search', 'constructive algorithms', 'divide and conquer', 'interactive', 'math']"
Codeforces,2219A,Grid L,1400.0,Medium,10160,,,"['brute force', 'constructive algorithms', 'math', 'number theory']"
Codeforces,2218G,"The 67th Iteration of ""Counting is Fun""",1800.0,Medium,4238,,,"['implementation', 'math']"
Codeforces,2218F,The 67th Tree Problem,1500.0,Medium,8498,,,"['constructive algorithms', 'implementation', 'trees']"
Codeforces,2218E,The 67th XOR Problem,1200.0,Medium,16122,,,"['binary search', 'bitmasks', 'brute force']"
Codeforces,2218D,The 67th OEIS Problem,1100.0,Easy,20492,,,"['constructive algorithms', 'greedy', 'math', 'number theory']"
Codeforces,2218C,The 67th Permutation Problem,800.0,Easy,29436,,,"['constructive algorithms', 'greedy', 'math']"
Codeforces,2218B,The 67th 6-7 Integer Problem,800.0,Easy,37744,,,"['greedy', 'math']"
Codeforces,2218A,The 67th Integer Problem,800.0,Easy,39370,,,"['brute force', 'games', 'implementation', 'math']"
Codeforces,2217H,Closer,2800.0,Hard,250,,,"['dfs and similar', 'dp', 'trees']"
Codeforces,2217G,Down the Pivot,2600.0,Hard,426,,,"['combinatorics', 'dp', 'math', 'trees']"
Codeforces,2217F,Interval Game,2300.0,Hard,842,,,"['bitmasks', 'combinatorics', 'constructive algorithms', 'dp', 'games', 'greedy', 'math', 'probabilities']"
Codeforces,2217E,Definitely Larger,2000.0,Hard,2365,,,"['binary search', 'constructive algorithms', 'data structures', 'graphs', 'greedy', 'sortings']"
Codeforces,2217D,Flip the Bit (Hard Version),1900.0,Medium,3663,,,"['greedy', 'implementation', 'math']"
Codeforces,2217C,Grid Covering,1300.0,Medium,11527,,,"['chinese remainder theorem', 'math', 'number theory']"
Codeforces,2217B,Flip the Bit (Easy Version),1000.0,Easy,17822,,,"['greedy', 'implementation']"
Codeforces,2217A,The Equalizer,800.0,Easy,24136,,,['math']
Codeforces,2216B,THU Packing Puzzle,1300.0,Medium,4783,,,['greedy']
Codeforces,2216A,Course Wishes,900.0,Easy,5645,,,['greedy']
Codeforces,2215G,Maze,3500.0,Hard,72,,,['trees']
Codeforces,2215F,Research,3500.0,Hard,74,,,['games']
Codeforces,2215E,Star Map,2700.0,Hard,205,,,"['constructive algorithms', 'data structures', 'geometry', 'greedy', 'sortings']"
Codeforces,2215D,"EXPloration, EXPloitation, and Gain Some EXPerience!",2800.0,Hard,144,,,"['bitmasks', 'brute force', 'dp', 'greedy', 'implementation']"
Codeforces,2215C,Oriented Journey,2200.0,Hard,747,,,"['bitmasks', 'brute force', 'communication', 'constructive algorithms', 'graphs', 'interactive', 'trees']"
Codeforces,2215B,RReeppeettiittiioonn,2000.0,Hard,1211,,,"['binary search', 'brute force', 'implementation', 'math', 'number theory']"
Codeforces,2215A,Interval Mod,1700.0,Medium,3389,,,"['constructive algorithms', 'dp', 'greedy', 'math']"
Codeforces,2214J,Special Problem,,Unknown,3621,,,"['*special', 'brute force', 'games', 'interactive']"
Codeforces,2214I,You Are a Robot,,Unknown,317,,,['*special']
Codeforces,2214H,Double Vision,,Unknown,1684,,,['*special']
Codeforces,2214G,Anomaly,,Unknown,779,,,"['*special', 'communication']"
Codeforces,2214F,Numbers,,Unknown,1001,,,['*special']
Codeforces,2214E,Shortest Paths,,Unknown,1090,,,"['*special', 'shortest paths']"
Codeforces,2214D,Neural Feud,,Unknown,4391,,,"['*special', 'strings']"
Codeforces,2214C,And?,,Unknown,1919,,,"['*special', 'bitmasks']"
Codeforces,2214B,Are You Smiling?,,Unknown,6776,,,"['*special', 'strings']"
Codeforces,2214A,Odd One Out,,Unknown,10441,,,"['*special', 'graph matchings', 'implementation']"
Codeforces,2211H,Median Deletion,3500.0,Hard,112,,,[]
Codeforces,2211G,Rational Bubble Sort,2900.0,Hard,315,,,"['constructive algorithms', 'geometry', 'greedy']"
Codeforces,2211F,Learning Binary Search,2400.0,Hard,984,,,"['combinatorics', 'divide and conquer', 'dp', 'math']"
Codeforces,2211E,Minimum Path Cover,2500.0,Hard,925,,,"['brute force', 'dp', 'greedy', 'interactive', 'math', 'number theory', 'trees']"
Codeforces,2211D,AND-array,1900.0,Medium,3149,,,"['bitmasks', 'combinatorics', 'math']"
Codeforces,2211C2,Equal Multisets (Hard Version),1800.0,Medium,4001,,,"['constructive algorithms', 'dsu', 'greedy']"
Codeforces,2211C1,Equal Multisets (Easy Version),1300.0,Medium,10006,,,"['binary search', 'brute force', 'greedy', 'two pointers']"
Codeforces,2211B,Mickey Mouse Constructive,1100.0,Easy,12547,,,"['constructive algorithms', 'dp', 'greedy', 'math']"
Codeforces,2211A,Antimedian Deletion,800.0,Easy,17216,,,"['implementation', 'math']"
Codeforces,2210F,A Simple Problem,2700.0,Hard,250,,,"['binary search', 'data structures', 'greedy', 'math', 'trees']"
Codeforces,2210E,Binary Strings are Simple?,2700.0,Hard,354,,,"['constructive algorithms', 'implementation', 'interactive', 'number theory']"
Codeforces,2210D,A Simple RBS Problem,2100.0,Hard,2194,,,"['constructive algorithms', 'math', 'strings', 'trees']"
Codeforces,2210C2,A Simple GCD Problem (Hard Version),2100.0,Hard,2322,,,"['dp', 'greedy', 'number theory']"
Codeforces,2210C1,A Simple GCD Problem (Easy Version),1200.0,Medium,13994,,,"['greedy', 'number theory']"
Codeforces,2210B,Simply Sitting on Chairs,900.0,Easy,18900,,,"['data structures', 'greedy']"
Codeforces,2210A,A Simple Sequence,800.0,Easy,23875,,,"['constructive algorithms', 'dp', 'greedy', 'number theory']"
Codeforces,2209F,Dynamic Values And Maximum Sum,2700.0,Hard,446,,,"['data structures', 'greedy', 'implementation', 'trees']"
Codeforces,2209E,A Trivial String Problem,2200.0,Hard,1911,,,"['brute force', 'dp', 'hashing', 'string suffix structures', 'strings']"
Codeforces,2209D,Ghostfires,1800.0,Medium,5689,,,"['constructive algorithms', 'greedy']"
Codeforces,2209C,Find the Zero,1400.0,Medium,11455,,,"['constructive algorithms', 'interactive']"
Codeforces,2209B,Array,900.0,Easy,20727,,,['greedy']
Codeforces,2209A,Flip Flops,800.0,Easy,22728,,,['greedy']
Codeforces,2208E,Counting Cute Arrays,2700.0,Hard,456,,,"['combinatorics', 'dp']"
Codeforces,2208D2,Tree Orientation (Hard Version),2200.0,Hard,1988,,,"['dfs and similar', 'dsu', 'graphs', 'greedy', 'sortings', 'trees']"
Codeforces,2208D1,Tree Orientation (Easy Version),1800.0,Medium,4570,,,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'matrices', 'trees']"
Codeforces,2208C,Stamina and Tasks,1300.0,Medium,12091,,,"['dp', 'greedy', 'math']"
Codeforces,2208B,Cyclists,1100.0,Easy,14555,,,"['brute force', 'games', 'greedy', 'implementation', 'math', 'sortings']"
Codeforces,2208A,Bingo Candies,800.0,Easy,21345,,,"['constructive algorithms', 'math']"
Codeforces,2207H3,Bowser's Castle (Hard Version),,Unknown,61,,,"['constructive algorithms', 'divide and conquer', 'interactive', 'trees', 'two pointers']"
Codeforces,2207H2,Bowser's Castle (Medium Version),,Unknown,44,,,"['constructive algorithms', 'divide and conquer', 'interactive', 'trees', 'two pointers']"
Codeforces,2207H1,Bowser's Castle (Easy Version),,Unknown,56,,,"['binary search', 'constructive algorithms', 'divide and conquer', 'greedy', 'interactive', 'trees']"
Codeforces,2207G,Toothless,3300.0,Hard,172,,,"['constructive algorithms', 'dfs and similar', 'dsu']"
Codeforces,2207F,Hanabi,2900.0,Hard,294,,,"['binary search', 'data structures', 'dp', 'dsu', 'flows', 'graph matchings', 'graphs', 'greedy']"
Codeforces,2207E2,N-MEX (Counting Version),2400.0,Hard,923,,,"['combinatorics', 'constructive algorithms', 'math']"
Codeforces,2207E1,N-MEX (Constructive Version),2100.0,Hard,1748,,,"['constructive algorithms', 'greedy']"
Codeforces,2207D,Boxed Like a Fish,2200.0,Hard,2208,,,"['dfs and similar', 'dp', 'games', 'shortest paths', 'trees']"
Codeforces,2207C,Where's My Water?,1600.0,Medium,6094,,,"['data structures', 'divide and conquer', 'dp', 'math']"
Codeforces,2207B,One Night At Freddy's,1600.0,Medium,6306,,,"['games', 'greedy', 'sortings']"
Codeforces,2207A,1-1,800.0,Easy,14511,,,"['greedy', 'strings']"
Codeforces,2206M,Deformed Balance,2900.0,Hard,51,,,[]
Codeforces,2206L,Onion,3500.0,Hard,59,,,[]
Codeforces,2206K,Time Display Stickers,1300.0,Medium,1847,,,['binary search']
Codeforces,2206J,Worldwide Playlist,1700.0,Medium,1263,,,['math']
Codeforces,2206I,Growth Factor,2900.0,Hard,213,,,"['combinatorics', 'dp', 'math', 'number theory']"
Codeforces,2206H,Reflect Sort,1800.0,Medium,1029,,,['number theory']
Codeforces,2206G,Extra Transition,3100.0,Hard,104,,,['graphs']
Codeforces,2206F,Minesweeper String,2400.0,Hard,450,,,"['fft', 'number theory']"
Codeforces,2206E,Parallel Sums,2500.0,Hard,449,,,"['data structures', 'geometry']"
Codeforces,2206D,Christmas Tree Un-decoration,2600.0,Hard,300,,,"['data structures', 'dp', 'trees']"
Codeforces,2206C,Upside Down Dijkstra,2200.0,Hard,722,,,['dfs and similar']
Codeforces,2206B,Subtree Removal Game,2500.0,Hard,408,,,"['binary search', 'games', 'trees']"
Codeforces,2206A,Compare Suffixes,3500.0,Hard,124,,,['interactive']
Codeforces,2205G,Simons and Diophantus Equation,3000.0,Hard,218,,,"['bitmasks', 'brute force', 'data structures', 'math', 'number theory']"
Codeforces,2205F,Simons and Reconstructing His Roads,2400.0,Hard,692,,,"['constructive algorithms', 'data structures', 'dsu', 'graphs']"
Codeforces,2205E,Simons and Dividing the Rhythm,2100.0,Hard,1680,,,"['combinatorics', 'data structures', 'dp', 'dsu', 'math', 'string suffix structures', 'strings']"
Codeforces,2205D,Simons and Beating Peaks,1700.0,Medium,5303,,,"['data structures', 'divide and conquer', 'dp', 'greedy', 'implementation', 'trees']"
Codeforces,2205C,Simons and Posting Blogs,1500.0,Medium,8381,,,"['greedy', 'sortings']"
Codeforces,2205B,Simons and Cakes for Success,800.0,Easy,17013,,,"['implementation', 'math']"
Codeforces,2205A,Simons and Making It Beautiful,800.0,Easy,18059,,,"['brute force', 'constructive algorithms']"
Codeforces,2204G,Grid Path,2700.0,Hard,440,,,"['dp', 'graphs', 'matrices']"
Codeforces,2204F,Sum of Fractions,2200.0,Hard,1311,,,"['binary search', 'brute force', 'combinatorics', 'data structures', 'greedy', 'math', 'number theory', 'two pointers']"
Codeforces,2204E,Sum of Digits (and Again),1800.0,Medium,5044,,,"['brute force', 'constructive algorithms', 'math']"
Codeforces,2204D,Alternating Path,1400.0,Medium,9577,,,"['constructive algorithms', 'dfs and similar', 'graph matchings', 'graphs']"
Codeforces,2204C,Spring,1000.0,Easy,18889,,,"['math', 'number theory']"
Codeforces,2204B,Right Maximum,800.0,Easy,20603,,,['greedy']
Codeforces,2204A,Passing the Ball,800.0,Easy,22767,,,"['brute force', 'implementation']"
Codeforces,2203F,Binary Search with One Swap,2600.0,Hard,440,,,"['binary search', 'divide and conquer', 'dp', 'hashing', 'math', 'two pointers']"
Codeforces,2203E,Probabilistic Card Game,2200.0,Hard,1489,,,"['binary search', 'data structures', 'games', 'greedy', 'math', 'ternary search']"
Codeforces,2203D,Divisibility Game,1700.0,Medium,5855,,,"['brute force', 'games', 'greedy', 'number theory']"
Codeforces,2203C,Test Generator,1500.0,Medium,7671,,,"['binary search', 'bitmasks', 'greedy', 'math']"
Codeforces,2203B,Beautiful Numbers,1000.0,Easy,15575,,,"['bitmasks', 'dp', 'fft', 'greedy', 'math']"
Codeforces,2203A,Towers of Boxes,800.0,Easy,19118,,,['math']
Codeforces,2202G1,Monotone Monochrome Matrices (Easy Version),2500.0,Hard,302,,,['data structures']
Codeforces,2202B,ABAB Construction,1200.0,Medium,11943,,,"['dp', 'greedy', 'implementation']"
Codeforces,2202A,Parkour Design,800.0,Easy,16993,,,['math']
Codeforces,2201G,Codeforces Heuristic Contest 1001,3500.0,Hard,71,,,['constructive algorithms']
Codeforces,2201F2,Monotone Monochrome Matrices (Hard Version),2800.0,Hard,428,,,"['constructive algorithms', 'data structures', 'hashing', 'math']"
Codeforces,2201F1,Monotone Monochrome Matrices (Medium Version),2900.0,Hard,295,,,"['data structures', 'hashing']"
Codeforces,2201E,ABBA Counting,2900.0,Hard,292,,,"['fft', 'math', 'number theory', 'strings']"
Codeforces,2201D,Binary Not Search and Queries,2500.0,Hard,830,,,"['data structures', 'greedy', 'implementation']"
Codeforces,2201C,Rigged Bracket Sequence,2000.0,Hard,2110,,,"['combinatorics', 'dp', 'greedy']"
Codeforces,2201B,Recollect Numbers,1700.0,Medium,5236,,,['constructive algorithms']
Codeforces,2201A2,Lost Civilization (Hard Version),1700.0,Medium,5367,,,"['data structures', 'dp']"
Codeforces,2201A1,Lost Civilization (Easy Version),1300.0,Medium,11713,,,['data structures']
Codeforces,2200H,Six Seven,2600.0,Hard,494,,,"['divide and conquer', 'math', 'number theory', 'strings', 'trees']"
Codeforces,2200G,Operation Permutation,2200.0,Hard,1112,,,"['combinatorics', 'dp', 'math', 'probabilities']"
Codeforces,2200F,Mooclear Reactor 2,1900.0,Medium,3093,,,"['brute force', 'data structures', 'greedy', 'implementation', 'sortings']"
Codeforces,2200E,Divisive Battle,1500.0,Medium,8852,,,"['games', 'greedy', 'math', 'number theory']"
Codeforces,2200D,Portal,1300.0,Medium,12811,,,"['greedy', 'sortings']"
Codeforces,2200C,Specialty String,900.0,Easy,23297,,,"['brute force', 'greedy', 'strings']"
Codeforces,2200B,Deletion Sort,800.0,Easy,27071,,,"['bitmasks', 'brute force', 'greedy', 'sortings']"
Codeforces,2200A,Eating Game,800.0,Easy,30028,,,['greedy']
Codeforces,2199I,Strange Process,3000.0,Hard,37,,,['*special']
Codeforces,2199H,Sum of MEX,2300.0,Hard,96,,,"['*special', 'combinatorics', 'data structures', 'dp', 'math']"
Codeforces,2199G,Jammer,2500.0,Hard,61,,,"['*special', 'math']"
Codeforces,2199F,Self-Produced Sequences,2000.0,Hard,160,,,"['*special', 'combinatorics', 'math']"
Codeforces,2199E,Supersequence,2100.0,Hard,188,,,"['*special', 'binary search', 'greedy']"
Codeforces,2199D,Two Arrays,1800.0,Medium,304,,,"['*special', 'math']"
Codeforces,2199C,Minesweeper,1600.0,Medium,486,,,"['*special', 'constructive algorithms', 'greedy']"
Codeforces,2199B,Two Towers,1400.0,Medium,1087,,,"['*special', 'greedy', 'math']"
Codeforces,2199A,Game,1000.0,Easy,1561,,,['*special']
Codeforces,2197B,Array and Permutation,1100.0,Easy,16549,,,"['implementation', 'schedules', 'sortings', 'two pointers']"
Codeforces,2197A,Friendly Numbers,800.0,Easy,23480,,,"['binary search', 'brute force', 'expression parsing', 'math', 'schedules']"
Codeforces,2196F,Indivisible,3300.0,Hard,112,,,"['brute force', 'constructive algorithms', 'graphs']"
Codeforces,2196E2,Fuzzy Concatenation (Hard version),3000.0,Hard,214,,,"['binary search', 'bitmasks', 'data structures', 'dp', 'greedy', 'string suffix structures']"
Codeforces,2196E1,Fuzzy Concatenation (Easy Version),2900.0,Hard,299,,,"['binary search', 'bitmasks', 'brute force', 'data structures', 'greedy', 'string suffix structures']"
Codeforces,2196D,Double Bracket Sequence,2500.0,Hard,1044,,,"['data structures', 'dp', 'expression parsing', 'flows', 'greedy', 'strings']"
Codeforces,2196C2,Interactive Graph (Hard Version),2000.0,Hard,2647,,,"['combinatorics', 'dfs and similar', 'dp', 'graphs', 'interactive']"
Codeforces,2196C1,Interactive Graph (Simple Version),1800.0,Medium,3773,,,"['binary search', 'combinatorics', 'dfs and similar', 'dp', 'graphs', 'interactive']"
Codeforces,2196B,Another Problem about Beautiful Pairs,1600.0,Medium,9023,,,"['brute force', 'math', 'two pointers']"
Codeforces,2196A,Game with a Fraction,1200.0,Medium,16743,,,"['games', 'math']"
